File Name,Frame,Timestamp,Focus,Cognitive Demand,Engagement,Memory
Hugo_Sanchez,212,00:00:08.791,70.3,30.1,25.7,44.9
Hugo_Sanchez,213,00:00:08.833,73.2,30.9,25.8,45.9
Hugo_Sanchez,214,00:00:08.875,74.7,30.7,25.9,47.0
Hugo_Sanchez,215,00:00:08.916,73.5,29.1,26.1,48.1
Hugo_Sanchez,216,00:00:08.958,62.4,28.2,26.2,49.3
Hugo_Sanchez,217,00:00:09.000,44.4,28.1,26.3,50.6
Hugo_Sanchez,218,00:00:09.041,43.0,29.3,26.4,51.8
Hugo_Sanchez,219,00:00:09.083,44.6,29.9,26.4,52.9
Hugo_Sanchez,220,00:00:09.125,48.4,30.5,26.4,53.8
Hugo_Sanchez,221,00:00:09.166,52.2,31.1,26.2,54.4
Hugo_Sanchez,222,00:00:09.208,54.3,31.5,25.9,54.8
Hugo_Sanchez,223,00:00:09.250,54.1,32.3,25.6,54.9
Hugo_Sanchez,224,00:00:09.291,52.2,33.7,25.1,54.9
Hugo_Sanchez,225,00:00:09.333,50.0,33.3,24.5,54.8
Hugo_Sanchez,226,00:00:09.375,48.6,31.6,23.8,54.6
Hugo_Sanchez,227,00:00:09.416,48.9,31.2,23.1,54.6
Hugo_Sanchez,228,00:00:09.458,50.8,30.5,22.6,54.6
Hugo_Sanchez,229,00:00:09.500,54.0,30.2,22.2,54.7
Hugo_Sanchez,230,00:00:09.541,57.2,29.7,22.0,54.9
Hugo_Sanchez,231,00:00:09.583,59.8,28.7,22.1,55.1
Hugo_Sanchez,232,00:00:09.625,62.2,29.2,22.6,55.3
Hugo_Sanchez,233,00:00:09.666,64.0,29.4,23.2,55.3
Hugo_Sanchez,234,00:00:09.708,63.8,30.6,24.1,55.2
Hugo_Sanchez,235,00:00:09.750,60.4,32.4,25.0,55.0
Hugo_Sanchez,236,00:00:09.791,54.3,34.1,26.0,54.6
Hugo_Sanchez,237,00:00:09.833,49.0,34.5,26.9,54.2
Hugo_Sanchez,238,00:00:09.875,47.1,34.4,27.8,53.8
Hugo_Sanchez,239,00:00:09.916,48.2,34.5,28.6,53.5
Hugo_Sanchez,240,00:00:09.958,47.6,34.6,29.4,53.2
Hugo_Sanchez,241,00:00:10.000,43.7,33.3,30.2,53.0
Hugo_Sanchez,242,00:00:10.041,41.3,33.1,31.0,52.8
Hugo_Sanchez,243,00:00:10.083,39.7,33.6,31.7,52.7
Hugo_Sanchez,244,00:00:10.125,38.6,33.8,32.3,52.7
Hugo_Sanchez,245,00:00:10.166,37.0,33.9,32.6,52.8
Hugo_Sanchez,246,00:00:10.208,34.9,33.3,32.6,52.9
Hugo_Sanchez,247,00:00:10.250,33.3,33.7,32.2,53.1
Hugo_Sanchez,248,00:00:10.291,32.8,33.2,31.4,53.4
Hugo_Sanchez,249,00:00:10.333,34.7,33.4,30.4,53.8
Hugo_Sanchez,250,00:00:10.375,40.1,33.2,29.1,54.1
Hugo_Sanchez,251,00:00:10.416,47.1,31.6,27.8,54.4
Hugo_Sanchez,252,00:00:10.458,54.5,30.6,26.6,54.5
Hugo_Sanchez,253,00:00:10.500,60.3,30.9,25.5,54.5
Hugo_Sanchez,254,00:00:10.541,63.1,31.9,24.6,54.3
Hugo_Sanchez,255,00:00:10.583,63.0,32.9,23.8,54.0
Hugo_Sanchez,256,00:00:10.625,60.7,33.3,23.1,53.7
Hugo_Sanchez,257,00:00:10.666,56.5,34.3,22.4,53.5
Hugo_Sanchez,258,00:00:10.708,51.6,34.4,21.6,53.4
Hugo_Sanchez,259,00:00:10.750,48.4,33.9,20.8,53.5
Hugo_Sanchez,260,00:00:10.791,48.4,32.4,20.1,53.8
Hugo_Sanchez,261,00:00:10.833,49.6,32.4,19.5,54.5
Hugo_Sanchez,262,00:00:10.875,50.9,33.2,19.4,55.5
Hugo_Sanchez,263,00:00:10.916,50.0,32.8,19.9,56.8
Hugo_Sanchez,264,00:00:10.958,39.5,29.7,20.9,58.4
Hugo_Sanchez,265,00:00:11.000,25.8,29.0,22.7,60.2
Hugo_Sanchez,266,00:00:11.041,24.4,29.0,25.1,62.3
Hugo_Sanchez,267,00:00:11.083,25.3,35.9,27.8,64.4
Hugo_Sanchez,268,00:00:11.125,26.1,36.3,30.9,66.3
Hugo_Sanchez,269,00:00:11.166,25.1,36.9,34.0,68.0
Hugo_Sanchez,270,00:00:11.208,22.4,37.2,36.9,69.2
Hugo_Sanchez,271,00:00:11.250,18.3,38.4,39.5,69.9
Hugo_Sanchez,272,00:00:11.291,14.4,38.7,41.8,70.1
Hugo_Sanchez,273,00:00:11.333,12.9,39.1,43.6,69.7
Hugo_Sanchez,274,00:00:11.375,13.4,38.8,45.0,69.0
Hugo_Sanchez,275,00:00:11.416,14.2,38.8,46.0,68.1
Hugo_Sanchez,276,00:00:11.458,14.5,38.7,46.7,67.2
Hugo_Sanchez,277,00:00:11.500,14.3,38.2,47.3,66.4
Hugo_Sanchez,278,00:00:11.541,14.8,37.9,48.0,65.7
Hugo_Sanchez,279,00:00:11.583,16.1,36.8,48.9,65.1
Hugo_Sanchez,280,00:00:11.625,17.8,36.8,50.3,64.6
Hugo_Sanchez,281,00:00:11.666,19.4,35.3,52.2,64.1
Hugo_Sanchez,282,00:00:11.708,21.4,35.5,54.6,63.4
Hugo_Sanchez,283,00:00:11.750,22.4,35.0,57.3,62.7
Hugo_Sanchez,284,00:00:11.791,22.9,51.9,60.1,62.0
Hugo_Sanchez,285,00:00:11.833,23.6,52.3,62.8,61.2
Hugo_Sanchez,286,00:00:11.875,24.9,52.5,64.9,60.4
Hugo_Sanchez,287,00:00:11.916,27.3,52.5,66.6,59.8
Hugo_Sanchez,288,00:00:11.958,27.1,52.4,67.6,59.3
Hugo_Sanchez,289,00:00:12.000,23.7,52.3,68.0,58.9
Hugo_Sanchez,290,00:00:12.041,23.7,52.3,68.0,58.7
Hugo_Sanchez,291,00:00:12.083,25.6,52.5,67.7,58.8
Hugo_Sanchez,292,00:00:12.125,28.0,52.6,67.3,59.0
Hugo_Sanchez,293,00:00:12.166,29.9,52.9,66.8,59.5
Hugo_Sanchez,294,00:00:12.208,31.2,53.1,66.3,60.2
Hugo_Sanchez,295,00:00:12.250,32.5,53.1,65.8,61.0
Hugo_Sanchez,296,00:00:12.291,34.1,33.4,65.5,62.0
Hugo_Sanchez,297,00:00:12.333,35.3,34.0,65.2,62.9
Hugo_Sanchez,298,00:00:12.375,34.9,34.0,65.0,63.7
Hugo_Sanchez,299,00:00:12.416,32.4,34.2,64.8,64.4
Hugo_Sanchez,300,00:00:12.458,28.3,33.9,64.6,64.9
Hugo_Sanchez,301,00:00:12.500,23.3,34.1,64.5,65.2
Hugo_Sanchez,302,00:00:12.541,19.5,34.4,64.3,65.4
Hugo_Sanchez,303,00:00:12.583,19.1,34.8,64.1,65.5
Hugo_Sanchez,304,00:00:12.625,21.6,34.8,63.8,65.6
Hugo_Sanchez,305,00:00:12.666,24.0,34.9,63.5,65.7
Hugo_Sanchez,306,00:00:12.708,26.0,35.1,63.1,65.8
Hugo_Sanchez,307,00:00:12.750,27.6,35.7,62.8,65.9
Hugo_Sanchez,308,00:00:12.791,28.2,35.9,62.5,65.9
Hugo_Sanchez,309,00:00:12.833,28.2,36.1,62.3,65.9
Hugo_Sanchez,310,00:00:12.875,27.4,36.2,62.1,65.8
Hugo_Sanchez,311,00:00:12.916,24.9,36.6,62.0,65.5
Hugo_Sanchez,312,00:00:12.958,22.8,36.7,61.8,64.9
Hugo_Sanchez,313,00:00:13.000,22.9,37.1,61.6,64.0
Hugo_Sanchez,314,00:00:13.041,22.6,37.1,61.1,62.7
Hugo_Sanchez,315,00:00:13.083,22.1,37.1,60.5,60.9
Hugo_Sanchez,316,00:00:13.125,21.0,37.1,59.6,58.6
Hugo_Sanchez,317,00:00:13.166,19.5,37.2,58.4,55.9
Hugo_Sanchez,318,00:00:13.208,17.8,37.2,57.1,52.9
Hugo_Sanchez,319,00:00:13.250,17.8,31.4,55.6,49.8
Hugo_Sanchez,320,00:00:13.291,19.1,31.4,54.1,46.7
Hugo_Sanchez,321,00:00:13.333,19.9,30.9,52.8,43.9
Hugo_Sanchez,322,00:00:13.375,19.5,30.9,51.8,41.5
Hugo_Sanchez,323,00:00:13.416,18.1,30.6,51.0,39.7
Hugo_Sanchez,324,00:00:13.458,15.4,30.3,50.5,38.3
Hugo_Sanchez,325,00:00:13.500,12.1,30.0,50.4,37.4
Hugo_Sanchez,326,00:00:13.541,9.0,30.0,50.5,36.9
Hugo_Sanchez,327,00:00:13.583,7.0,30.1,50.8,36.6
Hugo_Sanchez,328,00:00:13.625,6.1,30.3,51.1,36.6
Hugo_Sanchez,329,00:00:13.666,5.4,30.6,51.4,36.7
Hugo_Sanchez,330,00:00:13.708,4.9,30.7,51.6,36.8
Hugo_Sanchez,331,00:00:13.750,4.8,31.0,51.9,37.1
Hugo_Sanchez,332,00:00:13.791,4.6,31.3,52.0,37.4
Hugo_Sanchez,333,00:00:13.833,4.6,31.6,52.2,37.8
Hugo_Sanchez,334,00:00:13.875,4.6,31.6,52.4,38.2
Hugo_Sanchez,335,00:00:13.916,4.3,31.8,52.6,38.6
Hugo_Sanchez,336,00:00:13.958,4.4,31.9,52.9,38.9
Hugo_Sanchez,337,00:00:14.000,5.7,32.1,53.2,39.2
Hugo_Sanchez,338,00:00:14.041,6.0,32.2,53.5,39.5
Hugo_Sanchez,339,00:00:14.083,6.1,31.7,53.8,39.8
Hugo_Sanchez,340,00:00:14.125,6.1,31.5,53.9,40.2
Hugo_Sanchez,341,00:00:14.166,6.1,31.6,53.9,41.0
Hugo_Sanchez,342,00:00:14.208,6.1,31.9,53.7,42.2
Hugo_Sanchez,343,00:00:14.250,6.4,32.2,53.4,44.1
Hugo_Sanchez,344,00:00:14.291,7.3,32.5,52.9,46.7
Hugo_Sanchez,345,00:00:14.333,9.4,32.8,52.4,50.0
Hugo_Sanchez,346,00:00:14.375,12.7,46.8,51.8,53.8
Hugo_Sanchez,347,00:00:14.416,17.5,47.0,51.2,57.9
Hugo_Sanchez,348,00:00:14.458,23.0,46.9,50.7,62.0
Hugo_Sanchez,349,00:00:14.500,28.5,47.1,50.2,65.8
Hugo_Sanchez,350,00:00:14.541,33.3,47.0,49.9,69.1
Hugo_Sanchez,351,00:00:14.583,36.9,47.0,49.7,71.8
Hugo_Sanchez,352,00:00:14.625,39.8,46.9,49.6,73.8
Hugo_Sanchez,353,00:00:14.666,42.1,47.3,49.6,75.3
Hugo_Sanchez,354,00:00:14.708,43.6,47.2,49.9,76.4
Hugo_Sanchez,355,00:00:14.750,44.4,47.3,50.4,77.2
Hugo_Sanchez,356,00:00:14.791,45.1,47.3,51.1,77.9
Hugo_Sanchez,357,00:00:14.833,46.1,47.5,52.0,78.5
Hugo_Sanchez,358,00:00:14.875,48.1,47.4,53.0,79.2
Hugo_Sanchez,359,00:00:14.916,50.7,33.8,54.0,79.8
Hugo_Sanchez,360,00:00:14.958,52.6,34.0,55.0,80.5
Hugo_Sanchez,361,00:00:15.000,46.4,34.8,55.8,81.0
Hugo_Sanchez,362,00:00:15.041,48.6,34.8,56.5,81.5
Hugo_Sanchez,363,00:00:15.083,50.2,35.0,56.9,81.8
Hugo_Sanchez,364,00:00:15.125,48.0,35.1,57.2,82.0
Hugo_Sanchez,365,00:00:15.166,44.0,35.2,57.2,82.1
Hugo_Sanchez,366,00:00:15.208,39.4,35.3,57.2,82.1
Hugo_Sanchez,367,00:00:15.250,35.9,35.4,57.1,82.0
Hugo_Sanchez,368,00:00:15.291,33.8,35.5,56.9,81.8
Hugo_Sanchez,369,00:00:15.333,33.0,35.8,56.8,81.6
Hugo_Sanchez,370,00:00:15.375,33.3,35.8,56.6,81.3
Hugo_Sanchez,371,00:00:15.416,34.1,35.9,56.5,81.0
Hugo_Sanchez,372,00:00:15.458,35.0,36.0,56.4,80.7
Hugo_Sanchez,373,00:00:15.500,35.8,36.2,56.4,80.4
